beta,num_iterations,voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
300.0,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,1.0000000032922567,0.9961823763001583,0.14084897935390472,0.0005377141060307622,0.00381766419960824
300.0,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.9997577174435835,0.9961670553861137,1.302332878112793,0.004992895293980837,0.0038338088348165086
300.0,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.9931149153596821,0.995289136013687,1.1148452758789062,0.005288294050842524,0.004743522859415098
300.0,128,4.0,1.0,4.0,block_0/drn,b0,bias,0.9999268071876142,0.9961266911612345,0.707627534866333,0.0027410504408180714,0.003873577985254405
300.0,128,4.0,1.0,4.0,block_0/drn,b1,bias,0.9999226232384536,0.9844869314166811,1.6704518795013428,0.02591633051633835,0.015514562756560697
300.0,128,4.0,1.0,4.0,block_0/drn,b2,bias,0.9999172923020682,0.9380123535620489,2.477062702178955,0.15355996787548065,0.061992765762611174
300.0,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.9999977944641608,0.9374768418173287,0.56044602394104,0.0350409634411335,0.06252335094595991
300.0,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.9999980862826178,0.9374130423366637,0.039300598204135895,0.0024597086012363434,0.06258705245299523
300.0,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,0.9999999967539858,0.9365085512460821,0.20084448158740997,0.012751908041536808,0.06349145339095126
300.0,128,4.0,1.0,4.0,block_1/drn,W0,weight,0.9999865127218622,0.9376477967855427,2.633267879486084,0.1641932874917984,0.06235343117611066
300.0,128,4.0,1.0,4.0,block_1/drn,W1,weight,0.9996742803162038,0.9380762377151355,1.732204794883728,0.1073061153292656,0.06194770713382558
300.0,128,4.0,1.0,4.0,block_1/drn,b0,bias,0.9999263945592783,0.9378169190039501,0.04146399721503258,0.002578563755378127,0.06218801679938568
300.0,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.999898084318178,0.7513602318632914,0.062354426831007004,0.015505894087255001,0.24867350844678732
300.0,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.9995973556068387,0.029135596290845348,0.10673511028289795,0.10603053867816925,0.9933988768750859
