beta,num_iterations,voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
0.0001,128,4.0,1.0,4.0,block_1/drn,W0,weight,0.01455750605409451,5.94175681678296,2.633267879486084,15.462125778198242,5.871839283292315
0.0001,128,4.0,1.0,4.0,block_1/drn,W1,weight,0.019516112968884673,3.37218541569703,1.732204794883728,5.61181116104126,3.239692660831103
0.0001,128,4.0,1.0,4.0,block_1/drn,b0,bias,0.05008315614629135,1.0358926677164635,0.04146399721503258,0.013476012274622917,0.325005141321427
0.0001,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.18872521890350474,0.9962618305416152,0.062354426831007004,0.022230833768844604,0.3565237449635231
0.0001,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.27972426462605177,1.2973395308474032,0.10673511028289795,0.12299010157585144,1.1522928233256158
0.0001,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.19305485150772567,0.9842927847817857,0.039300598204135895,0.004517087247222662,0.11493685729056652
0.0001,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.18925100715870083,0.9840990759698998,0.56044602394104,0.06945601105690002,0.12392988457387455
0.0001,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
0.0001,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
0.0001,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
0.0001,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
0.0003,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,-1.0000000053590243,1.0006832261009722,0.14084897935390472,9.623836376704276e-05,0.000683273419576787
0.0003,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.04174806393431508,0.9992973758691266,1.302332878112793,0.07832212001085281,0.06013986234022532
0.0003,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.04599112371249296,0.9997996150556031,1.1148452758789062,0.09743659198284149,0.08739920605218135
0.0003,128,4.0,1.0,4.0,block_0/drn,b0,bias,0.8665027432208178,0.9959626078797037,0.707627534866333,0.003299344563856721,0.004662544066321485
0.0003,128,4.0,1.0,4.0,block_0/drn,b1,bias,0.884543758112364,0.9839388597511726,1.6704518795013428,0.030400332063436508,0.018198867286444376
0.0003,128,4.0,1.0,4.0,block_0/drn,b2,bias,0.665702283783643,0.9392904642489948,2.477062702178955,0.23591692745685577,0.09524059574645842
0.0003,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.7823366126620093,0.997185289335069,0.2573215961456299,0.0009266581619158387,0.0036011674721285387
0.0003,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.7469051632247478,0.9965635281665817,0.18257486820220947,0.000841185508761555,0.00460734556209514
