variant,beta,group,tensor,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
va4_comp_on_layer1_off,0.001,block_0/drn,b1,0.9975084931649528,68.01583241132585,0.5538058280944824,38.21997833251953,69.01331909782463
va4_comp_on_layer1_off,0.001,block_0/drn,b2,0.9906009670276743,63.73151390642006,1.4949272871017456,96.75466918945312,64.72199017587934
va4_comp_on_layer1_off,0.001,block_1/drn,W0,0.5523401953258179,8.38917086959339,0.6972905397415161,6.206284523010254,8.900571812304966
va4_comp_on_layer1_off,0.001,block_1/drn,W1,0.9331197113253249,3.5741068591885,1.793529987335205,8.051369667053223,4.489119069046515
va4_comp_on_layer1_off,0.001,block_1/drn,b0,0.986369093807782,3.070144492080512,0.056001272052526474,0.22692279517650604,4.052100726634628
va4_comp_on_layer1_off,0.001,block_1/drn,b1,0.9976246602362547,0.14759386092654955,0.09004548192024231,0.10158467292785645,1.1281484729887388
va4_comp_on_layer1_off,0.001,block_1/drn,b2,0.9998501768882779,0.0173627081314627,0.21094287931919098,0.21097858250141144,1.0001692552141874
va4_comp_on_layer1_off,0.01,block_0/drn,W0,0.9973342470519135,263.17901550338433,2.0600404739379883,544.2139892578125,264.1763577671312
va4_comp_on_layer1_off,0.01,block_0/drn,W1,0.9806883166151963,275.014155213295,0.6047917008399963,166.91932678222656,275.9947376103078
va4_comp_on_layer1_off,0.01,block_0/drn,b0,0.9999823745660749,255.47191999845148,0.18244926631450653,46.79310989379883,256.4718994985529
va4_comp_on_layer1_off,0.01,block_0/drn,b1,0.9981959660650555,67.8589410331363,0.5538058280944824,38.13346862792969,68.85710964642269
va4_comp_on_layer1_off,0.01,block_0/drn,b2,0.99978655661737,63.05365388662318,1.4949272871017456,95.7552261352539,64.05343387697275
va4_comp_on_layer1_off,0.01,block_1/drn,W0,0.9511899019527401,3.7566001521208445,0.6972905397415161,3.2739217281341553,4.6952045690276965
va4_comp_on_layer1_off,0.01,block_1/drn,W1,0.9930774384157708,3.2398337810945934,1.793529987335205,7.587795734405518,4.230648937004577
va4_comp_on_layer1_off,0.01,block_1/drn,b0,0.9998238211126249,3.00142509073703,0.056001272052526474,0.22407166659832,4.001188872784026
va4_comp_on_layer1_off,0.01,block_1/drn,b1,0.9981020097833568,0.14287668484241708,0.09004548192024231,0.10148324072360992,1.1270220177565222
va4_comp_on_layer1_off,0.01,block_1/drn,b2,0.9999985477636503,0.002368206541798797,0.21094287931919098,0.21093904972076416,0.9999818453296969
va4_comp_off_layer1_off,0.001,block_0/drn,W0,0.7868539704475888,0.9405382436719628,2.0600404739379883,0.15882818400859833,0.07709954538173767
va4_comp_off_layer1_off,0.001,block_0/drn,W1,0.9783411457313422,0.9341434538310455,0.6047917008399963,0.04077555984258652,0.06742083230631847
va4_comp_off_layer1_off,0.001,block_0/drn,b0,0.9962558449311347,0.9372864815092956,0.18244926631450653,0.011487924493849277,0.06296503529943695
va4_comp_off_layer1_off,0.001,block_0/drn,b1,0.9975029130529214,0.9327800570855379,0.5538058280944824,0.03732675313949585,0.06740043395341028
va4_comp_off_layer1_off,0.001,block_0/drn,b2,0.990599095516706,0.7503540369139352,1.4949272871017456,0.37794795632362366,0.2528202940601621
va4_comp_off_layer1_off,0.001,block_1/drn,W0,0.5523401953258179,0.83362641698652,0.6972905397415161,0.38789278268814087,0.5562857382690604
va4_comp_off_layer1_off,0.001,block_1/drn,W1,0.9331197113253249,0.7450919295297775,1.793529987335205,0.5032106041908264,0.2805699418154072
va4_comp_off_layer1_off,0.001,block_1/drn,b0,0.986369093807782,0.7513521665097757,0.056001272052526474,0.014182674698531628,0.25325629541466427
va4_comp_off_layer1_off,0.001,block_1/drn,b1,0.9976246602362547,0.7188959679621371,0.09004548192024231,0.02539616823196411,0.2820371182471847
va4_comp_off_layer1_off,0.001,block_1/drn,b2,0.9998501768882779,0.0173627081314627,0.21094287931919098,0.21097858250141144,1.0001692552141874
va4_comp_off_layer1_off,0.01,block_0/drn,W0,0.993925759920483,0.9350032799270778,2.0600404739379883,0.13477151095867157,0.06542177819498923
va4_comp_off_layer1_off,0.01,block_0/drn,W1,0.980674747059526,0.934017501811669,0.6047917008399963,0.04074948653578758,0.06737772108841861
va4_comp_off_layer1_off,0.01,block_0/drn,b0,0.9999509449991401,0.9373822021513786,0.18244926631450653,0.01142515242099762,0.06262098309183065
va4_comp_off_layer1_off,0.01,block_0/drn,b1,0.9981956969180563,0.9328872539101011,0.5538058280944824,0.03723950311541557,0.06724288771670764
va4_comp_off_layer1_off,0.01,block_0/drn,b2,0.9997870122328296,0.7498624241937571,1.4949272871017456,0.37404412031173706,0.2502089055026256
va4_comp_off_layer1_off,0.01,block_1/drn,W0,0.9511899019527401,0.7265415826893385,0.6972905397415161,0.2046201080083847,0.29345028556423103
va4_comp_off_layer1_off,0.01,block_1/drn,W1,0.9930774384157708,0.738102068298104,1.793529987335205,0.47423723340034485,0.26441555856278603
va4_comp_off_layer1_off,0.01,block_1/drn,b0,0.9998238211126249,0.7499840847239493,0.056001272052526474,0.014004479162395,0.25007430454900165
va4_comp_off_layer1_off,0.01,block_1/drn,b1,0.9981020097833568,0.7189891359209645,0.09004548192024231,0.02537081018090248,0.28175550443913056
va4_comp_off_layer1_off,0.01,block_1/drn,b2,0.9999985477636503,0.002368206541798797,0.21094287931919098,0.21093904972076416,0.9999818453296969
