scale,beta,group,tensor,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
1.0,0.01,block_1/ff,base_ff.0.weight,0.9987053254813718,0.9376099339739313,3.8199461371846155e-09,2.386562891754096e-10,0.062476349300386876
1.0,0.01,block_1/ff,base_ff.0.bias,0.9997844554109616,0.9372483124765648,5.964450792816933e-06,3.7436538491419924e-07,0.06276611173740462
1.0,0.01,block_1/drive,drive_scale,0.9999999840787258,0.9356065255385536,3.3521374565026463e-09,2.1585583320771207e-10,0.06439349102137323
1.0,0.01,block_1/drn,W0,0.9684936144730326,0.9353805928825224,4.504424850892974e-07,3.012342020269898e-08,0.06687517541052372
1.0,0.01,block_1/drn,W1,1.0000051503261522,0.9374881813367328,4.824661914426542e-07,3.0160308028825966e-08,0.06251279066547984
1.0,0.01,block_1/drn,b0,1.0000000837420508,0.937500164533869,0.0002653298433870077,1.6583124306635e-05,0.06250003427788937
1.0,0.01,block_1/drn,b1,0.9979982891804099,0.7320814053954627,0.0004876520542893559,0.00013100920477882028,0.26865303575873783
1.0,0.01,block_1/drn,b2,1.0000202328562822,1.1415332909437108e-07,0.01822374202311039,0.01822374202311039,1.0
2.0,0.001,head,module.2.weight,1.0018449703704262,0.0,2.634364761888719e-07,2.634364761888719e-07,1.0
2.0,0.001,head,module.2.bias,1.0000000371732802,0.0,0.36588945984840393,0.36588945984840393,1.0
2.0,0.001,head,module.4.weight,0.9999999916795922,0.0,0.02370196394622326,0.02370196394622326,1.0
2.0,0.001,head,module.4.bias,0.9999999896027663,0.0,0.6262223720550537,0.6262223720550537,1.0
2.0,0.001,block_0/ff,base_ff.0.weight,nan,1.0,5.200639918712113e-10,0.0,0.0
2.0,0.001,block_0/ff,base_ff.0.bias,nan,1.0,2.980704849608884e-10,0.0,0.0
2.0,0.001,block_0/drive,drive_scale,nan,1.0,1.2385144299020823e-10,0.0,0.0
2.0,0.001,block_0/drn,W0,nan,1.0,1.9631331227287774e-08,0.0,0.0
2.0,0.001,block_0/drn,W1,-0.0026790054640084054,1.119024485358809,1.5013604581781692e-08,7.499885157358221e-09,0.49953927562865097
2.0,0.001,block_0/drn,b0,nan,1.0,1.955075035198206e-08,0.0,0.0
2.0,0.001,block_0/drn,b1,-0.009356339845178864,1.248647657870545,6.79166376471585e-08,5.015277437792065e-08,0.7384460732357669
2.0,0.001,block_0/drn,b2,0.004684324833351375,1.0183024261786318,4.082291695794993e-07,8.039641130608288e-08,0.19693940878574662
2.0,0.001,block_1/ff,base_ff.0.weight,0.963767437989292,0.9337262907878502,2.4998261793918175e-10,1.7237131860747823e-11,0.0689533216463132
2.0,0.001,block_1/ff,base_ff.0.bias,0.9963441343809758,0.9370864508378358,2.9222428565844893e-06,1.8456873362993065e-07,0.06315995715895227
2.0,0.001,block_1/drive,drive_scale,0.9999999791356469,0.9492622751069318,1.238602970188296e-10,6.28439531316638e-12,0.050737770410892905
2.0,0.001,block_1/drn,W0,0.7013735196766228,0.9392825183566075,3.8569840654645304e-08,3.4587450681300425e-09,0.089674860186737
2.0,0.001,block_1/drn,W1,1.00024568397468,0.9375015949653306,4.705498923840423e-08,2.941367815978424e-09,0.06250915925356981
2.0,0.001,block_1/drn,b0,0.9999988024321035,0.937499982341249,0.00015451172657776624,9.65701383393025e-06,0.06250020013251127
2.0,0.001,block_1/drn,b1,0.998074266230064,0.7309927214862909,0.00027238830807618797,7.346820348175243e-05,0.2697186380745943
2.0,0.001,block_1/drn,b2,1.000053567248861,1.412336564210052e-07,0.013303561136126518,0.013303562067449093,1.0000000700055094
