voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
3.0,0.5,6.0,head,module.2.weight,other,1.0009236414396419,0.0,0.647592306137085,0.647592306137085,1.0
3.0,0.5,6.0,head,module.2.bias,other,0.9999999509559072,0.0,0.012009418569505215,0.012009418569505215,1.0
3.0,0.5,6.0,head,module.4.weight,other,0.9999998724853251,0.0,2.953169107437134,2.953169107437134,1.0
3.0,0.5,6.0,head,module.4.bias,other,1.0000000221153071,0.0,0.26440760493278503,0.26440760493278503,1.0
3.0,0.5,6.0,block_0/ff,base_ff.0.weight,bias,0.9867071865114984,0.9922191978646049,0.26646581292152405,0.0021014688536524773,0.007886448286224897
3.0,0.5,6.0,block_0/ff,base_ff.0.bias,bias,0.9976186448279498,0.9921912627843612,0.3129749894142151,0.0024498384445905685,0.007827585358101137
3.0,0.5,6.0,block_0/drive,drive_scale,other,0.9999999904655181,0.993636038829422,0.1573997437953949,0.0010016841115429997,0.006363950076342541
3.0,0.5,6.0,block_0/drn,W0,weight,0.18371598417015983,0.9948077040728805,1.4906281232833862,0.04585934057831764,0.03076511160765161
3.0,0.5,6.0,block_0/drn,W1,weight,0.3581958963324757,0.994377845021754,0.47213274240493774,0.007558597717434168,0.01600947580744427
3.0,0.5,6.0,block_0/drn,b0,bias,0.9873554116110118,0.9936383643776219,0.45431703329086304,0.0029273799154907465,0.006443473832108289
3.0,0.5,6.0,block_0/drn,b1,bias,0.989804947658508,0.9856158734665085,0.6344664692878723,0.00922162365168333,0.014534453904291771
3.0,0.5,6.0,block_0/drn,b2,bias,0.9433687877915224,0.9208318043205739,0.7806233167648315,0.06586246937513351,0.084371639894245
3.0,0.5,6.0,block_1/ff,base_ff.0.weight,bias,0.9488237275389132,0.9091144587841602,0.05949325114488602,0.0057306354865431786,0.09632412712808651
3.0,0.5,6.0,block_1/ff,base_ff.0.bias,bias,0.948751279030079,0.9170548040827649,0.019225722178816795,0.001689343131147325,0.08786890372360992
3.0,0.5,6.0,block_1/drive,drive_scale,other,0.9999999541117158,0.8652353406782429,0.04338397830724716,0.0058466289192438126,0.13476470225569773
3.0,0.5,6.0,block_1/drn,W0,weight,0.013778283942304142,1.3417721076713565,0.5117797255516052,0.4649466574192047,0.9084897939598466
3.0,0.5,6.0,block_1/drn,W1,weight,0.2706768034428749,0.9628767129535086,1.176249384880066,0.2950087785720825,0.250804618785975
3.0,0.5,6.0,block_1/drn,b0,bias,0.9610463481223073,0.916889062845045,0.03743361309170723,0.0032494838815182447,0.08680657871730024
3.0,0.5,6.0,block_1/drn,b1,bias,0.9929094836704302,0.8115889786368061,0.029458263888955116,0.005599228665232658,0.1900732740510209
3.0,0.5,6.0,block_1/drn,b2,bias,0.9959954410315481,0.08949236900457988,0.042266033589839935,0.041926756501197815,0.991972819310784
4.0,0.5,8.0,head,module.2.weight,other,1.0009257671763456,0.0,0.7560709714889526,0.7560709714889526,1.0
4.0,0.5,8.0,head,module.2.bias,other,1.0000001787184385,0.0,0.010957418940961361,0.010957418940961361,1.0
4.0,0.5,8.0,head,module.4.weight,other,1.0000000850197928,0.0,2.986286163330078,2.986286163330078,1.0
4.0,0.5,8.0,head,module.4.bias,other,0.9999997939782166,0.0,0.2629658877849579,0.2629658877849579,1.0
4.0,0.5,8.0,block_0/ff,base_ff.0.weight,bias,0.5059058219131934,0.9982511273291158,0.21661509573459625,0.0007507479167543352,0.0034658153172952245
4.0,0.5,8.0,block_0/ff,base_ff.0.bias,bias,0.9997008542403992,0.9962143886659927,0.47784656286239624,0.0018095102859660983,0.0037868019289011325
4.0,0.5,8.0,block_0/drive,drive_scale,other,0.9999999883247863,0.9970220616007148,0.17516982555389404,0.0005216456484049559,0.0029779423867980193
4.0,0.5,8.0,block_0/drn,W0,weight,0.11313649548670932,0.9971190243289695,1.70444655418396,0.0497620664536953,0.029195439617360104
4.0,0.5,8.0,block_0/drn,W1,weight,0.11588714709414978,0.9988750828307589,0.6220003962516785,0.006309309042990208,0.01014357720832912
4.0,0.5,8.0,block_0/drn,b0,bias,0.986917997212262,0.9963439884550487,0.45030221343040466,0.0016682007117196918,0.0037046247208321046
4.0,0.5,8.0,block_0/drn,b1,bias,0.991023008604295,0.9918754414551827,0.6350935697555542,0.005207061767578125,0.008198889133112007
4.0,0.5,8.0,block_0/drn,b2,bias,0.9234330375134839,0.9409819867438612,0.7975949645042419,0.05125465616583824,0.06426150922065613
4.0,0.5,8.0,block_1/ff,base_ff.0.weight,bias,0.9382198858132865,0.928098006859755,0.07561414688825607,0.005825684405863285,0.07704490026810175
4.0,0.5,8.0,block_1/ff,base_ff.0.bias,bias,0.9526386686721151,0.9363668218545733,0.023676160722970963,0.0015870056813582778,0.06702968863606933
4.0,0.5,8.0,block_1/drive,drive_scale,other,-1.000000002851128,1.491055827131905,0.008088625967502594,0.003971966914832592,0.49105582713190504
4.0,0.5,8.0,block_1/drn,W0,weight,0.006847030473136716,1.2210069162027004,0.6360859870910645,0.45001620054244995,0.7074769915942575
4.0,0.5,8.0,block_1/drn,W1,weight,0.2760409780487891,0.9658680437669687,1.6098862886428833,0.29089921712875366,0.180695505751514
4.0,0.5,8.0,block_1/drn,b0,bias,0.9242943185299702,0.9382553363249994,0.034203775227069855,0.002297860337421298,0.06718148280902937
4.0,0.5,8.0,block_1/drn,b1,bias,0.989128370925714,0.8610507094380826,0.02746177650988102,0.003864642698317766,0.14072806604216698
4.0,0.5,8.0,block_1/drn,b2,bias,0.9930303504829422,0.11841517926649656,0.03768472746014595,0.03699204698204994,0.9816190662695236
